#SampleID,sample_name_backup,sequence_run,run_lane,sample_name_mf,BiologicalMatter,env_sample,Biological_group,coral_group,country,country_region,expedition_number,depth,family,host_clade_sensu_fukami_numeric,Huang_Roy_tree_name,outgroup,complex_robust,functional_group_sensu_darling,Sexual.system,Mode.of.larval.development,sample_name_first_demultiplexing,concatenated_date,reef_name,latitude,longitude,env_matter,local_sample_id,ocean_area,Symbio_ITS2_sequenced,colony_name,phylo_robust,phylo_complex,family_backup,host_genus_id,host_species_id,field_host_name,field_host_genus_id,field_host_species_id,colony_height_m,colony_width1,colony_width2,tissue_compartment,host_genus,host_species,host_clade_sensu_fukami,temperature,NCBI_inherited_blast_name,full_taxonomy_string_with_clade,taxonomy_string_to_clade,taxonomy_string_to_family,Genus.fossil.age,Genus.fossil.age.unit,sample_type_EMP,Species.age.phylogeny,Species.age.phylogeny.unit,Zooxanthellate,political_area,ocean,hemisphere,sampling_expedition,collected_by
011-C120-T,1256_011_C120_T,PSU_Miseq_v4_2023,GMCF_1256_set1,E5.17.Orb.fave.2.20150305.T,Coral Tissue,no,yes,yes,Colombia,Colombia,E5,3.3528,Merulinidae,17,FAV_Montastraea_faveolata,n,robust,Generalist,hermaphrodite,spawner,10895.E5.17.Orb.fave.2.20150305.T,20150305,Varadero,10.3025,-75.585333,organic material,C_17_Orb_fave2_Cart_20150305,Caribbean,n,E5.17.Orb.fave.2.20150305,yes,yes,Merulinidae,Orbicella,faveolata,Orbicella faveolata,Orbicella,faveolata,210,170,150,T,Orbicella,faveolata,XVII,28,stony corals,Cnidaria_Anthozoa_Scleractinia_XVII_Orbicella_faveolata,Cnidaria_Anthozoa_Scleractinia_XVII,Cnidaria_Anthozoa_Scleractinia_Merulinidae,130,mya,Coral Tissue,0.249039798,mya,zooxanthellate,Colombia,Atlantic,Northern,E5_Cartagena_Colombia_2015,Monica Medina
012-C121-M,1256_012_C121_M,PSU_Miseq_v4_2023,GMCF_1256_set1,E5.17.Orb.fave.3.20150305.M,Coral Mucus,no,yes,yes,Colombia,Colombia,E5,2.7432,Merulinidae,17,FAV_Montastraea_faveolata,n,robust,Generalist,hermaphrodite,spawner,C_121_M,20150305,Varadero,10.3025,-75.585333,mucus,C_17_Orb_fave3_Cart_20150305,Caribbean,n,E5.17.Orb.fave.3.20150305,yes,yes,Merulinidae,Orbicella,faveolata,Orbicella faveolata,Orbicella,faveolata,280,310,250,M,Orbicella,faveolata,XVII,28,stony corals,Cnidaria_Anthozoa_Scleractinia_XVII_Orbicella_faveolata,Cnidaria_Anthozoa_Scleractinia_XVII,Cnidaria_Anthozoa_Scleractinia_Merulinidae,130,mya,Coral Mucus,0.249039798,mya,zooxanthellate,Colombia,Atlantic,Northern,E5_Cartagena_Colombia_2015,Monica Medina
013-C121-S,1256_013_C121_S,PSU_Miseq_v4_2023,GMCF_1256_set1,E5.17.Orb.fave.3.20150305.T,Coral Tissue,no,yes,yes,Colombia,Colombia,E5,2.7432,Merulinidae,17,FAV_Montastraea_faveolata,n,robust,Generalist,hermaphrodite,spawner,C_121_S,20150305,Varadero,10.3025,-75.585333,organic material,C_17_Orb_fave3_Cart_20150305,Caribbean,n,E5.17.Orb.fave.3.20150305,yes,yes,Merulinidae,Orbicella,faveolata,Orbicella faveolata,Orbicella,faveolata,280,310,250,T,Orbicella,faveolata,XVII,28,stony corals,Cnidaria_Anthozoa_Scleractinia_XVII_Orbicella_faveolata,Cnidaria_Anthozoa_Scleractinia_XVII,Cnidaria_Anthozoa_Scleractinia_Merulinidae,130,mya,Coral Tissue,0.249039798,mya,zooxanthellate,Colombia,Atlantic,Northern,E5_Cartagena_Colombia_2015,Monica Medina
014-C121-T,1256_014_C121_T,PSU_Miseq_v4_2023,GMCF_1256_set1,E5.17.Orb.fave.3.20150305.S,Coral Tissue,no,yes,yes,Colombia,Colombia,E5,2.7432,Merulinidae,17,FAV_Montastraea_faveolata,n,robust,Generalist,hermaphrodite,spawner,C_121_T,20150305,Varadero,10.3025,-75.585333,organic material,C_121_S,Caribbean,n,E5.17.Orb.fave.3.20150305,yes,yes,Merulinidae,Orbicella,faveolata,Orbicella faveolata,Orbicella,faveolata,280,310,250,S,Orbicella,faveolata,XVII,28,stony corals,Cnidaria_Anthozoa_Scleractinia_XVII_Orbicella_faveolata,Cnidaria_Anthozoa_Scleractinia_XVII,Cnidaria_Anthozoa_Scleractinia_Merulinidae,130,mya,Coral Skeleton,0.249039798,mya,zooxanthellate,Colombia,Atlantic,Northern,E5_Cartagena_Colombia_2015,Monica Medina
015-C122-M,1256_015_C122_M,PSU_Miseq_v4_2023,GMCF_1256_set1,E5.17.Orb.annu.2.20150305.M,Coral Mucus,no,yes,yes,Colombia,Colombia,E5,3.048,Merulinidae,17,FAV_Montastraea_annularis,n,robust,Stress-tolerant,hermaphrodite,spawner,C_122_M,20150305,Varadero,10.3025,-75.585333,mucus,C_17_Orb_annu2_Cart_20150305,Caribbean,n,E5.17.Orb.annu.2.20150305,yes,yes,Merulinidae,Orbicella,annularis,Orbicella annularis,Orbicella,annularis,80,150,63,M,Orbicella,annularis,XVII,28,stony corals,Cnidaria_Anthozoa_Scleractinia_XVII_Orbicella_annularis,Cnidaria_Anthozoa_Scleractinia_XVII,Cnidaria_Anthozoa_Scleractinia_Merulinidae,130,mya,Coral Mucus,0.249039798,mya,zooxanthellate,Colombia,Atlantic,Northern,E5_Cartagena_Colombia_2015,Monica Medina
016-C122-S,1256_016_C122_S,PSU_Miseq_v4_2023,GMCF_1256_set1,E5.17.Orb.annu.2.20150305.S,Coral Skeleton,no,yes,yes,Colombia,Colombia,E5,3.048,Merulinidae,17,FAV_Montastraea_annularis,n,robust,Stress-tolerant,hermaphrodite,spawner,C_122_S,20150305,Varadero,10.3025,-75.585333,organic material,C_17_Orb_annu2_Cart_20150305,Caribbean,n,E5.17.Orb.annu.2.20150305,yes,yes,Merulinidae,Orbicella,annularis,Orbicella annularis,Orbicella,annularis,80,150,63,S,Orbicella,annularis,XVII,28,stony corals,Cnidaria_Anthozoa_Scleractinia_XVII_Orbicella_annularis,Cnidaria_Anthozoa_Scleractinia_XVII,Cnidaria_Anthozoa_Scleractinia_Merulinidae,130,mya,Coral Skeleton,0.249039798,mya,zooxanthellate,Colombia,Atlantic,Northern,E5_Cartagena_Colombia_2015,Monica Medina
017-BLANK,1256_017_BLANK,PSU_Miseq_v4_2023,GMCF_1256_set1,BLANK,BLANK,no,no,no,Control,Control,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,no,no,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
018-C122-T,1256_018_C122_T,PSU_Miseq_v4_2023,GMCF_1256_set1,E5.17.Orb.annu.2.20150305.T,Coral Tissue,no,yes,yes,Colombia,Colombia,E5,3.048,Merulinidae,17,FAV_Montastraea_annularis,n,robust,Stress-tolerant,hermaphrodite,spawner,C_122_T,20150305,Varadero,10.3025,-75.585333,organic material,C_17_Orb_annu2_Cart_20150305,Caribbean,n,E5.17.Orb.annu.2.20150305,yes,yes,Merulinidae,Orbicella,annularis,Orbicella annularis,Orbicella,annularis,80,150,63,T,Orbicella,annularis,XVII,28,stony corals,Cnidaria_Anthozoa_Scleractinia_XVII_Orbicella_annularis,Cnidaria_Anthozoa_Scleractinia_XVII,Cnidaria_Anthozoa_Scleractinia_Merulinidae,130,mya,Coral Tissue,0.249039798,mya,zooxanthellate,Colombia,Atlantic,Northern,E5_Cartagena_Colombia_2015,Monica Medina
019-C123-M,1256_019_C123_M,PSU_Miseq_v4_2023,GMCF_1256_set1,E5.17.Orb.annu.3.20150305.M,Coral Mucus,no,yes,yes,Colombia,Colombia,E5,2.4384,Merulinidae,17,FAV_Montastraea_annularis,n,robust,Stress-tolerant,hermaphrodite,spawner,C_123_M,20150305,Varadero,10.3025,-75.585333,mucus,C_17_Orb_annu3_Cart_20150305,Caribbean,n,E5.17.Orb.annu.3.20150305,yes,yes,Merulinidae,Orbicella,annularis,Orbicella annularis,Orbicella,annularis,35,45,40,M,Orbicella,annularis,XVII,28,stony corals,Cnidaria_Anthozoa_Scleractinia_XVII_Orbicella_annularis,Cnidaria_Anthozoa_Scleractinia_XVII,Cnidaria_Anthozoa_Scleractinia_Merulinidae,130,mya,Coral Mucus,0.249039798,mya,zooxanthellate,Colombia,Atlantic,Northern,E5_Cartagena_Colombia_2015,Monica Medina
020-C123-S,1256_020_C123_S,PSU_Miseq_v4_2023,GMCF_1256_set1,E5.17.Orb.annu.3.20150305.S,Coral Skeleton,no,yes,yes,Colombia,Colombia,E5,2.4384,Merulinidae,17,FAV_Montastraea_annularis,n,robust,Stress-tolerant,hermaphrodite,spawner,C_123_S,20150305,Varadero,10.3025,-75.585333,organic material,C_17_Orb_annu3_Cart_20150305,Caribbean,n,E5.17.Orb.annu.3.20150305,yes,yes,Merulinidae,Orbicella,annularis,Orbicella annularis,Orbicella,annularis,35,45,40,S,Orbicella,annularis,XVII,28,stony corals,Cnidaria_Anthozoa_Scleractinia_XVII_Orbicella_annularis,Cnidaria_Anthozoa_Scleractinia_XVII,Cnidaria_Anthozoa_Scleractinia_Merulinidae,130,mya,Coral Skeleton,0.249039798,mya,zooxanthellate,Colombia,Atlantic,Northern,E5_Cartagena_Colombia_2015,Monica Medina
