#SampleID,sample_name_backup,sequence_run,run_lane,sample_name_mf,BiologicalMatter,env_sample,Biological_group,coral_group,country,country_region,expedition_number,depth,family,host_clade_sensu_fukami_numeric,Huang_Roy_tree_name,outgroup,complex_robust,functional_group_sensu_darling,Sexual.system,Mode.of.larval.development,sample_name_first_demultiplexing,concatenated_date,reef_name,latitude,longitude,env_matter,local_sample_id,ocean_area,Symbio_ITS2_sequenced,colony_name,phylo_robust,phylo_complex,family_backup,host_genus_id,host_species_id,field_host_name,field_host_genus_id,field_host_species_id,colony_height_m,colony_width1,colony_width2,tissue_compartment,host_genus,host_species,host_clade_sensu_fukami,temperature,NCBI_inherited_blast_name,full_taxonomy_string_with_clade,taxonomy_string_to_clade,taxonomy_string_to_family,Genus.fossil.age,Genus.fossil.age.unit,sample_type_EMP,Species.age.phylogeny,Species.age.phylogeny.unit,Zooxanthellate,political_area,ocean,hemisphere,sampling_expedition,collected_by
E10.10.Sty.pist.3.20150630.M_S141,E10.10_Sty.pist.3.20150630_M,OSU_Miseq_v4_2107,AN5UL,Pollock517_LH_316_M,Coral Mucus,no,yes,yes,Australia,Australia_SPacific,E10,0.8,Pocilloporidae,10,POC_Stylophora,n,robust,Weedy,hermaphrodite,brooder,E10.10_Sty.pist.3.20150630_M,20150630,Far Flats,-31.5617667,159.07475,mucus,LH_316_M,Tasman Sea,n,E10.10_Sty.pist.3.20150630,yes,no,Pocilloporidae,Stylophora,pistillata,Stylophora pistillata,Stylophora,pistillata,20,28,26,M,Stylophora,pistillata,X,21,stony corals,Cnidaria_Anthozoa_Scleractinia_X_Stylophora_pistillata,Cnidaria_Anthozoa_Scleractinia_X,Cnidaria_Anthozoa_Scleractinia_Pocilloporidae,65.5,mya,Coral Mucus,1.035433103,mya,zooxanthellate,Australia,Pacific,Southern,E10_Lord_Howe_2015,Joe Pollock
E10.17.Fav.abdi.1.20150630.M_S52,E10.17.Fav.abdi.1.20150630_M,OSU_Miseq_v4_2107,AN5UL,Pollock428_LH_309_M,Coral Mucus,no,yes,yes,Australia,Australia_SPacific,E10,1,Merulinidae,17,FAV_Favites_abdita,n,robust,Stress-tolerant,hermaphrodite,spawner,E10.17.Fav.abdi.1.20150630_M,20150630,Far Flats,-31.5617667,159.07475,mucus,LH_309_M,Tasman Sea,n,E10.17.Fav.abdi.1.20150630,yes,yes,Merulinidae,Favites,abdita,Favites abdita,Favites,abdita,35,70,60,M,Favites,abdita,XVII,21,stony corals,Cnidaria_Anthozoa_Scleractinia_XVII_Favites_abdita,Cnidaria_Anthozoa_Scleractinia_XVII,Cnidaria_Anthozoa_Scleractinia_Merulinidae,33.9,mya,Coral Mucus,1.33176492,mya,zooxanthellate,Australia,Pacific,Southern,E10_Lord_Howe_2015,Joe Pollock
E10.17.Fav.abdi.2.20150630.M_S53,E10.17.Fav.abdi.2.20150630_M,OSU_Miseq_v4_2107,AN5UL,Pollock429_LH_310_M,Coral Mucus,no,yes,yes,Australia,Australia_SPacific,E10,1,Merulinidae,17,FAV_Favites_abdita,n,robust,Stress-tolerant,hermaphrodite,spawner,E10.17.Fav.abdi.2.20150630_M,20150630,Far Flats,-31.5617667,159.07475,mucus,LH_310_M,Tasman Sea,n,E10.17.Fav.abdi.2.20150630,yes,yes,Merulinidae,Favites,abdita,Favites abdita,Favites,abdita,50,40,40,M,Favites,abdita,XVII,21,stony corals,Cnidaria_Anthozoa_Scleractinia_XVII_Favites_abdita,Cnidaria_Anthozoa_Scleractinia_XVII,Cnidaria_Anthozoa_Scleractinia_Merulinidae,33.9,mya,Coral Mucus,1.33176492,mya,zooxanthellate,Australia,Pacific,Southern,E10_Lord_Howe_2015,Joe Pollock
E10.17.Fav.pali.1.20150630.M_S44,E10.17.Fav.pali.1.20150630_M,OSU_Miseq_v4_2107,AN5UL,Pollock420_LH_306_M,Coral Mucus,no,yes,yes,Australia,Australia_SPacific,E10,1.3,Merulinidae,17,FAV_Favia_pallida,n,robust,Stress-tolerant,hermaphrodite,spawner,E10.17.Fav.pali.1.20150630_M,20150630,Far Flats,-31.5617667,159.07475,mucus,LH_306_M,Tasman Sea,n,E10.17.Fav.pali.1.20150630,yes,yes,Merulinidae,Dipsastraea,pallida,Dipsastraea pallida,Dipsastraea,pallida,20,20,20,M,Dipsastraea,pallida,XVII,21,stony corals,Cnidaria_Anthozoa_Scleractinia_XVII_Favia_pallida,Cnidaria_Anthozoa_Scleractinia_XVII,Cnidaria_Anthozoa_Scleractinia_Merulinidae,15.97,mya,Coral Mucus,0.540508455,mya,zooxanthellate,Australia,Pacific,Southern,E10_Lord_Howe_2015,Joe Pollock
E10.17.Fav.pali.2.20150630.M_S46,E10.17.Fav.pali.2.20150630_M,OSU_Miseq_v4_2107,AN5UL,Pollock422_LH_307_M,Coral Mucus,no,yes,yes,Australia,Australia_SPacific,E10,1.3,Merulinidae,17,FAV_Favia_pallida,n,robust,Stress-tolerant,hermaphrodite,spawner,E10.17.Fav.pali.2.20150630_M,20150630,Far Flats,-31.5617667,159.07475,mucus,LH_307_M,Tasman Sea,n,E10.17.Fav.pali.2.20150630,yes,yes,Merulinidae,Dipsastraea,pallida,Dipsastraea pallida,Dipsastraea,pallida,12,10,70,M,Dipsastraea,pallida,XVII,21,stony corals,Cnidaria_Anthozoa_Scleractinia_XVII_Favia_pallida,Cnidaria_Anthozoa_Scleractinia_XVII,Cnidaria_Anthozoa_Scleractinia_Merulinidae,15.97,mya,Coral Mucus,0.540508455,mya,zooxanthellate,Australia,Pacific,Southern,E10_Lord_Howe_2015,Joe Pollock
E10.17.Fav.pali.3.20150630.M_S49,E10.17.Fav.pali.3.20150630_M,OSU_Miseq_v4_2107,AN5UL,Pollock425_LH_308_M,Coral Mucus,no,yes,yes,Australia,Australia_SPacific,E10,1.3,Merulinidae,17,FAV_Favia_pallida,n,robust,Stress-tolerant,hermaphrodite,spawner,E10.17.Fav.pali.3.20150630_M,20150630,Far Flats,-31.5617667,159.07475,mucus,LH_308_M,Tasman Sea,n,E10.17.Fav.pali.3.20150630,yes,yes,Merulinidae,Dipsastraea,pallida,Dipsastraea pallida,Dipsastraea,pallida,20,23,13,M,Dipsastraea,pallida,XVII,21,stony corals,Cnidaria_Anthozoa_Scleractinia_XVII_Favia_pallida,Cnidaria_Anthozoa_Scleractinia_XVII,Cnidaria_Anthozoa_Scleractinia_Merulinidae,15.97,mya,Coral Mucus,0.540508455,mya,zooxanthellate,Australia,Pacific,Southern,E10_Lord_Howe_2015,Joe Pollock
E10.17.Gon.favu.1.20150629.M_S46,E10.17.Gon.favu.1.20150629_M,OSU_Miseq_v4_2107,ALVCP,Pollock43,Coral Mucus,no,yes,yes,Australia,Australia_SPacific,E10,1,Merulinidae,17,FAV_Goniastrea_favulus,n,robust,Stress-tolerant,hermaphrodite,spawner,E10.17.Gon.favu.1.20150629_M,20150629,Far Flats,-31.5617667,159.07475,mucus,LH_304_M,Tasman Sea,n,E10.17.Gon.favu.1.20150629,yes,yes,Merulinidae,Goniastrea,favulus,Goniastrea favulus,Goniastrea,favulus,20,35,25,M,Goniastrea,favulus,XVII,21,stony corals,Cnidaria_Anthozoa_Scleractinia_XVII_Goniastrea_favulus,Cnidaria_Anthozoa_Scleractinia_XVII,Cnidaria_Anthozoa_Scleractinia_Merulinidae,65.5,mya,Coral Mucus,0.465643286,mya,zooxanthellate,Australia,Pacific,Southern,E10_Lord_Howe_2015,Joe Pollock
E10.17.Gon.favu.1.20150630.M_S55,E10.17.Gon.favu.1.20150630_M,OSU_Miseq_v4_2107,ALVCP,Pollock50,Coral Mucus,no,yes,yes,Australia,Australia_SPacific,E10,0.8,Merulinidae,17,FAV_Goniastrea_favulus,n,robust,Stress-tolerant,hermaphrodite,spawner,E10.17.Gon.favu.1.20150630_M,20150630,Far Flats,-31.5617667,159.07475,mucus,LH_311_M,Tasman Sea,n,E10.17.Gon.favu.1.20150630,yes,yes,Merulinidae,Goniastrea,favulus,Goniastrea favulus,Goniastrea,favulus,3,10,10,M,Goniastrea,favulus,XVII,21,stony corals,Cnidaria_Anthozoa_Scleractinia_XVII_Goniastrea_favulus,Cnidaria_Anthozoa_Scleractinia_XVII,Cnidaria_Anthozoa_Scleractinia_Merulinidae,65.5,mya,Coral Mucus,0.465643286,mya,zooxanthellate,Australia,Pacific,Southern,E10_Lord_Howe_2015,Joe Pollock
E10.17.Gon.favu.2.20150630.M_S55,E10.17.Gon.favu.2.20150630_M,OSU_Miseq_v4_2107,AN5UL,Pollock431_LH_312_M,Coral Mucus,no,yes,yes,Australia,Australia_SPacific,E10,0.7,Merulinidae,17,FAV_Goniastrea_favulus,n,robust,Stress-tolerant,hermaphrodite,spawner,E10.17.Gon.favu.2.20150630_M,20150630,Far Flats,-31.5617667,159.07475,mucus,LH_312_M,Tasman Sea,n,E10.17.Gon.favu.2.20150630,yes,yes,Merulinidae,Goniastrea,favulus,Goniastrea favulus,Goniastrea,favulus,5,10,15,M,Goniastrea,favulus,XVII,21,stony corals,Cnidaria_Anthozoa_Scleractinia_XVII_Goniastrea_favulus,Cnidaria_Anthozoa_Scleractinia_XVII,Cnidaria_Anthozoa_Scleractinia_Merulinidae,65.5,mya,Coral Mucus,0.465643286,mya,zooxanthellate,Australia,Pacific,Southern,E10_Lord_Howe_2015,Joe Pollock
E10.17.Mon.curt.3.20150629.M_S42,E10.17_Mon.curt.3.20150629_M,OSU_Miseq_v4_2107,AN5UL,Pollock418_LH_303_M,Coral Mucus,no,yes,yes,Australia,Australia_SPacific,E10,1,Merulinidae,17,FAV_Montastraea_curta,n,robust,Stress-tolerant,hermaphrodite,spawner,E10.17_Mon.curt.3.20150629_M,20150629,Far Flats,-31.5617667,159.07475,mucus,LH_303_M,Tasman Sea,n,E10.17_Mon.curt.3.20150629,yes,yes,Merulinidae,Astrea,curta,Astrea curta,Astrea,curta,20,30,25,M,Astrea,curta,XVII,21,stony corals,Cnidaria_Anthozoa_Scleractinia_XVII_Astrea_curta,Cnidaria_Anthozoa_Scleractinia_XVII,Cnidaria_Anthozoa_Scleractinia_Merulinidae,130,mya,Coral Mucus,0.867444078,mya,zooxanthellate,Australia,Pacific,Southern,E10_Lord_Howe_2015,Joe Pollock
E10.Aca.hill.1.20150629.M_S29,E10.Aca.hill.1.20150629_M,OSU_Miseq_v4_2107,ALVCP,Pollock28,Coral Mucus,no,yes,yes,Australia,Australia_SPacific,E10,1,Lobophylliidae,18,MUS_Acanthastrea_hillae,n,robust,Unknown,Unknown,Unknown,E10.Aca.hill.1.20150629_M,20150629,Far Flats,-31.5617667,159.07475,mucus,LH_297_M,Tasman Sea,n,E10.18.Aca.hill.1.20150629,yes,no,Lobophylliidae,Acanthastrea,hillae,Acanthastrea hillae,Acanthastrea,hillae,30,50,35,M,Acanthastrea,hillae,XVIII,21,stony corals,Cnidaria_Anthozoa_Scleractinia_XVIII_Acanthastrea_hillae,Cnidaria_Anthozoa_Scleractinia_XVIII,Cnidaria_Anthozoa_Scleractinia_Lobophylliidae,Unknown,Unknown,Coral Mucus,Unknown,Unknown,Unknown,Australia,Pacific,Southern,E10_Lord_Howe_2015,Joe Pollock
E10.Aca.hill.2.20150629.M_S38,E10.Aca.hill.2.20150629_M,OSU_Miseq_v4_2107,AN5UL,Pollock414_LH_298_M,Coral Mucus,no,yes,yes,Australia,Australia_SPacific,E10,1,Lobophylliidae,18,MUS_Acanthastrea_hillae,n,robust,Unknown,Unknown,Unknown,E10.Aca.hill.2.20150629_M,20150629,Far Flats,-31.5617667,159.07475,mucus,LH_298_M,Tasman Sea,n,E10.18.Aca.hill.2.20150629,yes,no,Lobophylliidae,Acanthastrea,hillae,Acanthastrea hillae,Acanthastrea,hillae,20,60,35,M,Acanthastrea,hillae,XVIII,21,stony corals,Cnidaria_Anthozoa_Scleractinia_XVIII_Acanthastrea_hillae,Cnidaria_Anthozoa_Scleractinia_XVIII,Cnidaria_Anthozoa_Scleractinia_Lobophylliidae,Unknown,Unknown,Coral Mucus,Unknown,Unknown,Unknown,Australia,Pacific,Southern,E10_Lord_Howe_2015,Joe Pollock
E10.Aca.hill.3.20150629.M_S26,E10.Aca.hill.3.20150629_M,OSU_Miseq_v4_2107,ALVCP,Pollock31,Coral Mucus,no,yes,yes,Australia,Australia_SPacific,E10,1,Lobophylliidae,18,MUS_Acanthastrea_hillae,n,robust,Unknown,Unknown,Unknown,E10.Aca.hill.3.20150629_M,20150629,Far Flats,-31.5617667,159.07475,mucus,LH_299_M,Tasman Sea,n,E10.18.Aca.hill.3.20150629,yes,no,Lobophylliidae,Acanthastrea,hillae,Acanthastrea hillae,Acanthastrea,hillae,26,40,18,M,Acanthastrea,hillae,XVIII,21,stony corals,Cnidaria_Anthozoa_Scleractinia_XVIII_Acanthastrea_hillae,Cnidaria_Anthozoa_Scleractinia_XVIII,Cnidaria_Anthozoa_Scleractinia_Lobophylliidae,Unknown,Unknown,Coral Mucus,Unknown,Unknown,Unknown,Australia,Pacific,Southern,E10_Lord_Howe_2015,Joe Pollock
E10.Acr.cyth.1.20150627.M_S2,E10.Acr.cyth.1.20150627_M,OSU_Miseq_v4_2107,AN5UL,Pollock378_LH_270_M,Coral Mucus,no,yes,yes,Australia,Australia_SPacific,E10,1.3,Acroporidae,6,ACR_Acropora_cytherea,n,complex,Competitive,Unknown,Unknown,E10.Acr.cyth.1.20150627_M,20150627,North Bay,-31.52135,159.0467333,mucus,LH_270_M,Tasman Sea,n,E10.6.Acr.cyth.1.20150627,no,yes,Acroporidae,Acropora,cytherea,Acropora cytherea,Acropora,cytherea,15,110,55,M,Acropora,cytherea,VI,21,stony corals,Cnidaria_Anthozoa_Scleractinia_VI_Acropora_cytherea,Cnidaria_Anthozoa_Scleractinia_VI,Cnidaria_Anthozoa_Scleractinia_Acroporidae,55.8,mya,Coral Mucus,1.241722003,mya,zooxanthellate,Australia,Pacific,Southern,E10_Lord_Howe_2015,Joe Pollock
E10.Acr.cyth.2.20150627.M_S11,E10.Acr.cyth.2.20150627_M,OSU_Miseq_v4_2107,AN5UL,Pollock387_LH_273_M,Coral Mucus,no,yes,yes,Australia,Australia_SPacific,E10,1.1,Acroporidae,6,ACR_Acropora_cytherea,n,complex,Competitive,Unknown,Unknown,E10.Acr.cyth.2.20150627_M,20150627,North Bay,-31.52135,159.0467333,mucus,LH_273_M,Tasman Sea,n,E10.6.Acr.cyth.2.20150627,no,yes,Acroporidae,Acropora,cytherea,Acropora cytherea,Acropora,cytherea,60,75,200,M,Acropora,cytherea,VI,21,stony corals,Cnidaria_Anthozoa_Scleractinia_VI_Acropora_cytherea,Cnidaria_Anthozoa_Scleractinia_VI,Cnidaria_Anthozoa_Scleractinia_Acroporidae,55.8,mya,Coral Mucus,1.241722003,mya,zooxanthellate,Australia,Pacific,Southern,E10_Lord_Howe_2015,Joe Pollock
E10.Acr.cyth.3.20150627.M_S16,E10.Acr.cyth.3.20150627_M,OSU_Miseq_v4_2107,AN5UL,Pollock392_LH_275_M,Coral Mucus,no,yes,yes,Australia,Australia_SPacific,E10,1.2,Acroporidae,6,ACR_Acropora_cytherea,n,complex,Competitive,Unknown,Unknown,E10.Acr.cyth.3.20150627_M,20150627,North Bay,-31.52135,159.0467333,mucus,LH_275_M,Tasman Sea,n,E10.6.Acr.cyth.3.20150627,no,yes,Acroporidae,Acropora,cytherea,Acropora cytherea,Acropora,cytherea,20,55,30,M,Acropora,cytherea,VI,21,stony corals,Cnidaria_Anthozoa_Scleractinia_VI_Acropora_cytherea,Cnidaria_Anthozoa_Scleractinia_VI,Cnidaria_Anthozoa_Scleractinia_Acroporidae,55.8,mya,Coral Mucus,1.241722003,mya,zooxanthellate,Australia,Pacific,Southern,E10_Lord_Howe_2015,Joe Pollock
E10.Acr.pali.1.20150627.M_S7,E10.Acr.pali.1.20150627_M,OSU_Miseq_v4_2107,ALVCP,Pollock2,Coral Mucus,no,yes,yes,Australia,Australia_SPacific,E10,1.2,Acroporidae,6,ACR_Isopora_palifera,n,complex,Unknown,hermaphrodite,brooder,E10.Acr.pali.1.20150627_M,20150627,North Bay,-31.52135,159.0467333,mucus,LH_276_M,Tasman Sea,n,E10.6.Acr.pali.1.20150627,no,yes,Acroporidae,Isopora,palifera,Isopora palifera,Isopora,palifera,45,65,65,M,Isopora,palifera,VI,21,stony corals,Cnidaria_Anthozoa_Scleractinia_VI_Isopora_palifera,Cnidaria_Anthozoa_Scleractinia_VI,Cnidaria_Anthozoa_Scleractinia_Acroporidae,Unknown,Unknown,Coral Mucus,5.265550916,mya,zooxanthellate,Australia,Pacific,Southern,E10_Lord_Howe_2015,Joe Pollock
E10.Acr.pali.2.20150627.M_S6,E10.Acr.pali.2.20150627_M,OSU_Miseq_v4_2107,ALVCP,Pollock3,Coral Mucus,no,yes,yes,Australia,Australia_SPacific,E10,1.2,Acroporidae,6,ACR_Isopora_palifera,n,complex,Unknown,hermaphrodite,brooder,E10.Acr.pali.2.20150627_M,20150627,North Bay,-31.52135,159.0467333,mucus,LH_277_M,Tasman Sea,n,E10.6.Acr.pali.2.20150627,no,yes,Acroporidae,Isopora,palifera,Isopora palifera,Isopora,palifera,40,25,40,M,Isopora,palifera,VI,21,stony corals,Cnidaria_Anthozoa_Scleractinia_VI_Isopora_palifera,Cnidaria_Anthozoa_Scleractinia_VI,Cnidaria_Anthozoa_Scleractinia_Acroporidae,Unknown,Unknown,Coral Mucus,5.265550916,mya,zooxanthellate,Australia,Pacific,Southern,E10_Lord_Howe_2015,Joe Pollock
E10.Acr.pali.3.20150627.M_S19,E10.Acr.pali.3.20150627_M,OSU_Miseq_v4_2107,AN5UL,Pollock395_LH_278_M,Coral Mucus,no,yes,yes,Australia,Australia_SPacific,E10,1.2,Acroporidae,6,ACR_Isopora_palifera,n,complex,Unknown,hermaphrodite,brooder,E10.Acr.pali.3.20150627_M,20150627,North Bay,-31.52135,159.0467333,mucus,LH_278_M,Tasman Sea,n,E10.6.Acr.pali.3.20150627,no,yes,Acroporidae,Isopora,palifera,Isopora palifera,Isopora,palifera,35,25,13,M,Isopora,palifera,VI,21,stony corals,Cnidaria_Anthozoa_Scleractinia_VI_Isopora_palifera,Cnidaria_Anthozoa_Scleractinia_VI,Cnidaria_Anthozoa_Scleractinia_Acroporidae,Unknown,Unknown,Coral Mucus,5.265550916,mya,zooxanthellate,Australia,Pacific,Southern,E10_Lord_Howe_2015,Joe Pollock
E10.Alv.alli.1.20150628.M_S34,E10.Alv.alli.1.20150628_M,OSU_Miseq_v4_2107,AN5UL,Pollock410_LH_290_M,Coral Mucus,no,yes,yes,Australia,Australia_SPacific,E10,3,Acroporidae,6,POR_Alveopora,n,complex,Unknown,Unknown,Unknown,E10.Alv.alli.1.20150628_M,20150628,Comets Hole,-31.5461333,159.0614667,mucus,LH_290_M,Tasman Sea,n,E10.6.Alv.alli.1.20150628,no,yes,Acroporidae,Alveopora,allingi,Alveopora allingi,Alveopora,allingi,10,15,16,M,Alveopora,allingi,VI,20,stony corals,Cnidaria_Anthozoa_Scleractinia_VI_Alveopora_allingi,Cnidaria_Anthozoa_Scleractinia_VI,Cnidaria_Anthozoa_Scleractinia_Acroporidae,55.8,mya,Coral Mucus,1.409238893,mya,zooxanthellate,Australia,Pacific,Southern,E10_Lord_Howe_2015,Joe Pollock
E10.Alv.alli.2.20150628.M_S36,E10.Alv.alli.2.20150628_M,OSU_Miseq_v4_2107,AN5UL,Pollock412_LH_291_M,Coral Mucus,no,yes,yes,Australia,Australia_SPacific,E10,3.2,Acroporidae,6,POR_Alveopora,n,complex,Unknown,Unknown,Unknown,E10.Alv.alli.2.20150628_M,20150628,Comets Hole,-31.5461333,159.0614667,mucus,LH_291_M,Tasman Sea,n,E10.6.Alv.alli.2.20150628,no,yes,Acroporidae,Alveopora,allingi,Alveopora allingi,Alveopora,allingi,10,13,8,M,Alveopora,allingi,VI,20,stony corals,Cnidaria_Anthozoa_Scleractinia_VI_Alveopora_allingi,Cnidaria_Anthozoa_Scleractinia_VI,Cnidaria_Anthozoa_Scleractinia_Acroporidae,55.8,mya,Coral Mucus,1.409238893,mya,zooxanthellate,Australia,Pacific,Southern,E10_Lord_Howe_2015,Joe Pollock
E10.Alv.alli.3.20150628.M_S18,E10.Alv.alli.3.20150628_M,OSU_Miseq_v4_2107,ALVCP,Pollock23,Coral Mucus,no,yes,yes,Australia,Australia_SPacific,E10,3.2,Acroporidae,6,POR_Alveopora,n,complex,Unknown,Unknown,Unknown,E10.Alv.alli.3.20150628_M,20150628,Comets Hole,-31.5461333,159.0614667,mucus,LH_292_M,Tasman Sea,n,E10.6.Alv.alli.3.20150628,no,yes,Acroporidae,Alveopora,allingi,Alveopora allingi,Alveopora,allingi,15,19,10,M,Alveopora,allingi,VI,20,stony corals,Cnidaria_Anthozoa_Scleractinia_VI_Alveopora_allingi,Cnidaria_Anthozoa_Scleractinia_VI,Cnidaria_Anthozoa_Scleractinia_Acroporidae,55.8,mya,Coral Mucus,1.409238893,mya,zooxanthellate,Australia,Pacific,Southern,E10_Lord_Howe_2015,Joe Pollock
E10.Cyp.micr.1.20150627.M_S20,E10.Cyp_Micr.1.20150627_M,OSU_Miseq_v4_2107,AN5UL,Pollock396_LH_279_M,Coral Mucus,no,yes,yes,Australia,Australia_SPacific,E10,1.2,Merulinidae,17,FAV_Cyphastrea_micropthalma,n,robust,Stress-tolerant,hermaphrodite,spawner,E10.Cyp_Micr.1.20150627_M,20150627,North Bay,-31.52135,159.0467333,mucus,LH_279_M,Tasman Sea,n,E10.17.Cyp_Micr.1.20150627,yes,yes,Merulinidae,Cyphastrea,microphthalma,Cyphastrea microphthalma,Cyphastrea,microphthalma,30,35,35,M,Cyphastrea,microphthalma,XVII,21,stony corals,Cnidaria_Anthozoa_Scleractinia_XVII_Cyphastrea_microphthalma,Cnidaria_Anthozoa_Scleractinia_XVII,Cnidaria_Anthozoa_Scleractinia_Merulinidae,33.9,mya,Coral Mucus,1.237263313,mya,zooxanthellate,Australia,Pacific,Southern,E10_Lord_Howe_2015,Joe Pollock
E10.Cyp.sera.1.20150628.M_S23,E10.Cyp_Sera.1.20150628_M,OSU_Miseq_v4_2107,AN5UL,Pollock399_LH_282_M,Coral Mucus,no,yes,yes,Australia,Australia_SPacific,E10,1.3,Merulinidae,17,FAV_Cyphastrea_serailia,n,robust,Stress-tolerant,hermaphrodite,spawner,E10.Cyp_Sera.1.20150628_M,20150628,North Bay,-31.52135,159.0467333,mucus,LH_282_M,Tasman Sea,n,E10.17.Cyp_Sera.1.20150628,yes,yes,Merulinidae,Cyphastrea,serailia,Cyphastrea serailia,Cyphastrea,serailia,20,28,26,M,Cyphastrea,serailia,XVII,21,stony corals,Cnidaria_Anthozoa_Scleractinia_XVII_Cyphastrea_serailia,Cnidaria_Anthozoa_Scleractinia_XVII,Cnidaria_Anthozoa_Scleractinia_Merulinidae,33.9,mya,Coral Mucus,2.223347908,mya,zooxanthellate,Australia,Pacific,Southern,E10_Lord_Howe_2015,Joe Pollock
E10.Cyp.sera.2.20150628.M_S24,E10.Cyp_Sera.2.20150628_M,OSU_Miseq_v4_2107,AN5UL,Pollock400_LH_283_M,Coral Mucus,no,yes,yes,Australia,Australia_SPacific,E10,1.3,Merulinidae,17,FAV_Cyphastrea_serailia,n,robust,Stress-tolerant,hermaphrodite,spawner,E10.Cyp_Sera.2.20150628_M,20150628,North Bay,-31.52135,159.0467333,mucus,LH_283_M,Tasman Sea,n,E10.17.Cyp_Sera.2.20150628,yes,yes,Merulinidae,Cyphastrea,serailia,Cyphastrea serailia,Cyphastrea,serailia,20,20,30,M,Cyphastrea,serailia,XVII,21,stony corals,Cnidaria_Anthozoa_Scleractinia_XVII_Cyphastrea_serailia,Cnidaria_Anthozoa_Scleractinia_XVII,Cnidaria_Anthozoa_Scleractinia_Merulinidae,33.9,mya,Coral Mucus,2.223347908,mya,zooxanthellate,Australia,Pacific,Southern,E10_Lord_Howe_2015,Joe Pollock
E10.Fav.abdi.1.20150629.M_S35,E10.Fav.abdi.1.20150629_M,OSU_Miseq_v4_2107,ALVCP,Pollock38,Coral Mucus,no,yes,yes,Australia,Australia_SPacific,E10,0.8,Merulinidae,17,FAV_Favites_abdita,n,robust,Stress-tolerant,hermaphrodite,spawner,E10.Fav.abdi.1.20150629_M,20150629,Far Flats,-31.5617667,159.07475,mucus,LH_302_M,Tasman Sea,n,E10.17.Fav.abdi.1.20150629,yes,yes,Merulinidae,Favites,abdita,Favites abdita,Favites,abdita,20,20,20,M,Favites,abdita,XVII,21,stony corals,Cnidaria_Anthozoa_Scleractinia_XVII_Favites_abdita,Cnidaria_Anthozoa_Scleractinia_XVII,Cnidaria_Anthozoa_Scleractinia_Merulinidae,33.9,mya,Coral Mucus,1.33176492,mya,zooxanthellate,Australia,Pacific,Southern,E10_Lord_Howe_2015,Joe Pollock
E10.Poc.dami.1.20150628.M_S29,E10.Poc.dami.1.20150628_M,OSU_Miseq_v4_2107,AN5UL,Pollock405_LH_287_M,Coral Mucus,no,yes,yes,Australia,Australia_SPacific,E10,0.7,Pocilloporidae,10,POC_Pocillopora_damicornis,n,robust,Weedy,hermaphrodite,Unknown,E10.Poc.dami.1.20150628_M,20150628,North Bay,-31.52135,159.0467333,mucus,LH_287_M,Tasman Sea,n,E10.10.Poc.dami.1.20150628,yes,no,Pocilloporidae,Pocillopora,damicornis,Pocillopora damicornis,Pocillopora,damicornis,40,50,30,M,Pocillopora,damicornis,X,21,stony corals,Cnidaria_Anthozoa_Scleractinia_X_Pocillopora_damicornis,Cnidaria_Anthozoa_Scleractinia_X,Cnidaria_Anthozoa_Scleractinia_Pocilloporidae,33.9,mya,Coral Mucus,1.847284581,mya,zooxanthellate,Australia,Pacific,Southern,E10_Lord_Howe_2015,Joe Pollock
E10.Poc.dami.2.20150628.M_S31,E10.Poc.dami.2.20150628_M,OSU_Miseq_v4_2107,AN5UL,Pollock407_LH_288_M,Coral Mucus,no,yes,yes,Australia,Australia_SPacific,E10,0.7,Pocilloporidae,10,POC_Pocillopora_damicornis,n,robust,Weedy,hermaphrodite,Unknown,E10.Poc.dami.2.20150628_M,20150628,North Bay,-31.52135,159.0467333,mucus,LH_288_M,Tasman Sea,n,E10.10.Poc.dami.2.20150628,yes,no,Pocilloporidae,Pocillopora,damicornis,Pocillopora damicornis,Pocillopora,damicornis,30,30,55,M,Pocillopora,damicornis,X,21,stony corals,Cnidaria_Anthozoa_Scleractinia_X_Pocillopora_damicornis,Cnidaria_Anthozoa_Scleractinia_X,Cnidaria_Anthozoa_Scleractinia_Pocilloporidae,33.9,mya,Coral Mucus,1.847284581,mya,zooxanthellate,Australia,Pacific,Southern,E10_Lord_Howe_2015,Joe Pollock
E10.Por.hero.1.20150628.M_S15,E10.Por.hero.1.20150628_M,OSU_Miseq_v4_2107,ALVCP,Pollock10,Coral Mucus,no,yes,yes,Australia,Australia_SPacific,E10,1.3,Poritidae,3,POR_Porites,n,complex,Unknown,gonochore,Unknown,E10.Por.hero.1.20150628_M,20150628,North Bay,-31.52135,159.0467333,mucus,LH_284_M,Tasman Sea,n,E10.3.Por.hero.1.20150628,no,yes,Poritidae,Porites,heronensis,Porites heronensis,Porites,heronensis,20,20,25,M,Porites,heronensis,III,21,stony corals,Cnidaria_Anthozoa_Scleractinia_III_Porites_heronensis,Cnidaria_Anthozoa_Scleractinia_III,Cnidaria_Anthozoa_Scleractinia_Poritidae,55.8,mya,Coral Mucus,1.498568808,mya,zooxanthellate,Australia,Pacific,Southern,E10_Lord_Howe_2015,Joe Pollock
